,selected,combined_score,mutual_info,lightgbm
CC_SK_DPD_MAX,True,0.020822723692637737,0.00023559331213340862,10
CNT_CHILDREN,True,0.0203573267165608,0.0020775716719281245,1
BUREAU_CREDIT_DAY_OVERDUE_MEAN,True,0.01987463751210508,0.000129033822232838,10
BUREAU_CREDIT_TYPE_Car loan,True,0.018687595545839965,0.0010479983371920465,5
BUREAU_CREDIT_DAY_OVERDUE_MAX,True,0.018176157793158506,0.001200991878745894,4
AMT_REQ_CREDIT_BUREAU_MON,True,0.015157359986017428,0.0008616961637011311,4
FLAG_DOCUMENT_6,True,0.013289465466688846,0.0014936604582220792,0
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,True,0.011235955056418044,0.0,6
PREV_NAME_CONTRACT_STATUS_Unused offer,True,0.009901706730499603,0.0006919430965364182,2
FLAG_DOCUMENT_8,True,0.00952818596188836,0.0006499614830699496,2
REG_REGION_NOT_WORK_REGION,True,0.008361466354850767,0.0007293050821590707,1
FLAG_EMAIL,True,0.008221005025954397,0.000923994284412144,0
AMT_REQ_CREDIT_BUREAU_WEEK,True,0.007490636704116233,0.0,4
BUREAU_CREDIT_ACTIVE_Sold,True,0.007490636704115899,0.0,4
AMT_REQ_CREDIT_BUREAU_DAY,True,0.0037453183520578352,0.0,2
LIVE_REGION_NOT_WORK_REGION,True,0.0032627777445349785,0.00015624143372972021,1
REG_REGION_NOT_LIVE_REGION,True,0.0029867268006095182,0.00033569113315845556,0
FLAG_DOCUMENT_5,True,0.0026003858892966196,8.179235039396104e-05,1
